"geo","time","suicide_0_14","suicide_15_29","suicide_30_44","suicide_45_59","suicide_60plus","suicide_men","suicide_women","suicide_total","suicide_deaths"
"afg",1990,NA,NA,NA,NA,NA,NA,NA,NA,696.11
"afg",1991,NA,NA,NA,NA,NA,NA,NA,NA,750.52
"afg",1992,NA,NA,NA,NA,NA,NA,NA,NA,854.56
"afg",1993,NA,NA,NA,NA,NA,NA,NA,NA,943.21
"afg",1994,NA,NA,NA,NA,NA,NA,NA,NA,992.59
"afg",1995,NA,NA,NA,NA,NA,NA,NA,NA,1031.54
"afg",1996,NA,NA,NA,NA,NA,NA,NA,NA,1069.93
"afg",1997,NA,NA,NA,NA,NA,NA,NA,NA,1104.24
"afg",1998,NA,NA,NA,NA,NA,NA,NA,NA,1113.7
"afg",1999,NA,NA,NA,NA,NA,NA,NA,NA,1120.31
"afg",2000,NA,NA,NA,NA,NA,NA,NA,NA,1136.6
"afg",2001,NA,NA,NA,NA,NA,NA,NA,NA,1182.85
"afg",2002,NA,NA,NA,NA,NA,NA,NA,NA,1189.71
"afg",2003,NA,NA,NA,NA,NA,NA,NA,NA,1234.51
"afg",2004,NA,NA,NA,NA,NA,NA,NA,NA,1282.69
"afg",2005,NA,NA,NA,NA,NA,NA,NA,NA,1299.55
"afg",2006,NA,NA,NA,NA,NA,NA,NA,NA,1303.39
"afg",2007,NA,NA,NA,NA,NA,NA,NA,NA,1309.84
"afg",2008,NA,NA,NA,NA,NA,NA,NA,NA,1330
"afg",2009,NA,NA,NA,NA,NA,NA,NA,NA,1342.49
"afg",2010,NA,NA,NA,NA,NA,NA,NA,NA,1366.97
"afg",2011,NA,NA,NA,NA,NA,NA,NA,NA,1390.9
"afg",2012,NA,NA,NA,NA,NA,NA,NA,NA,1413.15
"afg",2013,NA,NA,NA,NA,NA,NA,NA,NA,1432.69
"afg",2014,NA,NA,NA,NA,NA,NA,NA,NA,1444.25
"afg",2015,NA,NA,NA,NA,NA,NA,NA,NA,1467.11
"afg",2016,NA,NA,NA,NA,NA,NA,NA,NA,1504.75
"afg",2017,NA,NA,NA,NA,NA,NA,NA,NA,1547.73
"afg",2018,NA,NA,NA,NA,NA,NA,NA,NA,1582.35
"afg",2019,NA,NA,NA,NA,NA,NA,NA,NA,1613.2
"ago",1990,NA,NA,NA,NA,NA,NA,NA,NA,972.56
"ago",1991,NA,NA,NA,NA,NA,NA,NA,NA,991.29
"ago",1992,NA,NA,NA,NA,NA,NA,NA,NA,1021.55
"ago",1993,NA,NA,NA,NA,NA,NA,NA,NA,1069.09
"ago",1994,NA,NA,NA,NA,NA,NA,NA,NA,1113.32
"ago",1995,NA,NA,NA,NA,NA,NA,NA,NA,1121.82
"ago",1996,NA,NA,NA,NA,NA,NA,NA,NA,1083.09
"ago",1997,NA,NA,NA,NA,NA,NA,NA,NA,1089.68
"ago",1998,NA,NA,NA,NA,NA,NA,NA,NA,1157.75
"ago",1999,NA,NA,NA,NA,NA,NA,NA,NA,1202.15
"ago",2000,NA,NA,NA,NA,NA,NA,NA,NA,1217.37
"ago",2001,NA,NA,NA,NA,NA,NA,NA,NA,1226
"ago",2002,NA,NA,NA,NA,NA,NA,NA,NA,1219.55
"ago",2003,NA,NA,NA,NA,NA,NA,NA,NA,1253.66
"ago",2004,NA,NA,NA,NA,NA,NA,NA,NA,1312.27
"ago",2005,NA,NA,NA,NA,NA,NA,NA,NA,1311.73
"ago",2006,NA,NA,NA,NA,NA,NA,NA,NA,1349.24
"ago",2007,NA,NA,NA,NA,NA,NA,NA,NA,1369.24
"ago",2008,NA,NA,NA,NA,NA,NA,NA,NA,1402.44
"ago",2009,NA,NA,NA,NA,NA,NA,NA,NA,1452.84
"ago",2010,NA,NA,NA,NA,NA,NA,NA,NA,1500.91
"ago",2011,NA,NA,NA,NA,NA,NA,NA,NA,1551.49
"ago",2012,NA,NA,NA,NA,NA,NA,NA,NA,1604.19
"ago",2013,NA,NA,NA,NA,NA,NA,NA,NA,1641.49
"ago",2014,NA,NA,NA,NA,NA,NA,NA,NA,1646.4
"ago",2015,NA,NA,NA,NA,NA,NA,NA,NA,1691.03
"ago",2016,NA,NA,NA,NA,NA,NA,NA,NA,1724.21
"ago",2017,NA,NA,NA,NA,NA,NA,NA,NA,1802.31
"ago",2018,NA,NA,NA,NA,NA,NA,NA,NA,1869.86
"ago",2019,NA,NA,NA,NA,NA,NA,NA,NA,1927.58
"alb",1987,NA,4.752,3.3276,3.0188,0.9413,3.1794,1.6978,2.4743,NA
"alb",1988,NA,3.3318,2.0385,3.1956,3.9298,2.8313,1.5565,2.2346,NA
"alb",1989,NA,3.4836,2.687,3.6983,2.7719,3.6103,1.083,2.3523,NA
"alb",1990,NA,NA,NA,NA,NA,NA,NA,NA,124.89
"alb",1991,NA,NA,NA,NA,NA,NA,NA,NA,136.25
"alb",1992,NA,2.5661,1.7015,3.2994,0.6972,2.3358,0.8664,1.6047,132.49
"alb",1993,0.193,4.9481,2.1877,2.7488,2.755,3.331,1.7551,2.5033,130.94
"alb",1994,0.0955,2.2314,1.1803,2.9533,4.1761,2.6788,0.9882,1.7962,125.11
"alb",1995,0.7561,4.9297,2.6706,3.772,2.6382,3.6596,2.1134,2.8983,132.92
"alb",1996,0.2799,6.4495,3.1226,1.6825,3.0411,3.6563,2.4315,2.9592,141.34
"alb",1997,0.9221,10.6314,6.703,3.97,4.6344,8.1964,3.0627,5.4762,157.56
"alb",1998,0.2672,10.385,4.8634,4.8523,4.3148,6.6518,3.4343,4.9544,170.42
"alb",1999,0.0845,7.2156,5.5631,4.5985,6.2798,6.1377,2.8834,4.4696,162.76
"alb",2000,0.098,2.7516,2.1569,2.1755,3.0959,2.6503,1.0983,1.8802,151.21
"alb",2001,0.8256,4.7547,5.7012,5.966,4.0976,5.7935,2.303,4.0445,148.03
"alb",2002,0.2018,6.5018,5.636,7.3959,4.0942,6.4158,2.7709,4.5255,154.45
"alb",2003,0.4102,5.1997,3.9855,6.6356,6.5804,4.7841,3.3059,4.0826,164.52
"alb",2004,0.4255,6.7215,7.1715,5.6582,4.3838,5.972,3.5428,4.723,169.6
"alb",2005,NA,NA,NA,NA,NA,NA,NA,NA,168.75
"alb",2006,NA,NA,NA,NA,NA,NA,NA,NA,161.5
"alb",2007,0.468,5.2014,3.6214,6.8211,6.6305,5.2267,3.041,4.056,158.3
"alb",2008,0.9661,6.0879,8.1283,7.8196,5.0886,6.8024,3.9165,5.3415,163.39
"alb",2009,NA,NA,NA,NA,NA,NA,NA,NA,159.99
"alb",2010,0.2597,3.5108,3.6732,5.3668,4.2436,3.8636,2.2785,3.0793,159.75
"alb",2011,NA,NA,NA,NA,NA,NA,NA,NA,159.66
"alb",2012,NA,NA,NA,NA,NA,NA,NA,NA,158.29
"alb",2013,NA,NA,NA,NA,NA,NA,NA,NA,157.07
"alb",2014,NA,NA,NA,NA,NA,NA,NA,NA,157.95
"alb",2015,NA,NA,NA,NA,NA,NA,NA,NA,159.66
"alb",2016,NA,NA,NA,NA,NA,NA,NA,NA,158.14
"alb",2017,NA,NA,NA,NA,NA,NA,NA,NA,155.91
"alb",2018,NA,NA,NA,NA,NA,NA,NA,NA,153.88
"alb",2019,NA,NA,NA,NA,NA,NA,NA,NA,152.1
"and",1990,NA,NA,NA,NA,NA,NA,NA,NA,5.96
"and",1991,NA,NA,NA,NA,NA,NA,NA,NA,6.46
"and",1992,NA,NA,NA,NA,NA,NA,NA,NA,6.81
"and",1993,NA,NA,NA,NA,NA,NA,NA,NA,7.25
"and",1994,NA,NA,NA,NA,NA,NA,NA,NA,7.24
"and",1995,NA,NA,NA,NA,NA,NA,NA,NA,7.11
"and",1996,NA,NA,NA,NA,NA,NA,NA,NA,7.09
"and",1997,NA,NA,NA,NA,NA,NA,NA,NA,7
"and",1998,NA,NA,NA,NA,NA,NA,NA,NA,6.97
"and",1999,NA,NA,NA,NA,NA,NA,NA,NA,6.9
"and",2000,NA,NA,NA,NA,NA,NA,NA,NA,6.89
"and",2001,NA,NA,NA,NA,NA,NA,NA,NA,6.87
"and",2002,NA,NA,NA,NA,NA,NA,NA,NA,6.91
"and",2003,NA,NA,NA,NA,NA,NA,NA,NA,7.29
"and",2004,NA,NA,NA,NA,NA,NA,NA,NA,7.68
"and",2005,NA,NA,NA,NA,NA,NA,NA,NA,7.74
"and",2006,NA,NA,NA,NA,NA,NA,NA,NA,7.95
"and",2007,NA,NA,NA,NA,NA,NA,NA,NA,8.04
"and",2008,NA,NA,NA,NA,NA,NA,NA,NA,8.12
"and",2009,NA,NA,NA,NA,NA,NA,NA,NA,8.1
"and",2010,NA,NA,NA,NA,NA,NA,NA,NA,8.08
"and",2011,NA,NA,NA,NA,NA,NA,NA,NA,7.46
"and",2012,NA,NA,NA,NA,NA,NA,NA,NA,7.28
"and",2013,NA,NA,NA,NA,NA,NA,NA,NA,7.29
"and",2014,NA,NA,NA,NA,NA,NA,NA,NA,7.49
"and",2015,NA,NA,NA,NA,NA,NA,NA,NA,7.56
"and",2016,NA,NA,NA,NA,NA,NA,NA,NA,7.63
"and",2017,NA,NA,NA,NA,NA,NA,NA,NA,7.81
"and",2018,NA,NA,NA,NA,NA,NA,NA,NA,7.98
"and",2019,NA,NA,NA,NA,NA,NA,NA,NA,8.13
"ant",1981,NA,1.4392,2.4577,8.0599,NA,NA,NA,NA,NA
"are",1990,NA,NA,NA,NA,NA,NA,NA,NA,113.68
"are",1991,NA,NA,NA,NA,NA,NA,NA,NA,121.42
"are",1992,NA,NA,NA,NA,NA,NA,NA,NA,130.32
"are",1993,NA,NA,NA,NA,NA,NA,NA,NA,140.1
"are",1994,NA,NA,NA,NA,NA,NA,NA,NA,147.45
"are",1995,NA,NA,NA,NA,NA,NA,NA,NA,161.45
"are",1996,NA,NA,NA,NA,NA,NA,NA,NA,170.09
"are",1997,NA,NA,NA,NA,NA,NA,NA,NA,181.4
"are",1998,NA,NA,NA,NA,NA,NA,NA,NA,190.09
"are",1999,NA,NA,NA,NA,NA,NA,NA,NA,199.75
"are",2000,NA,NA,NA,NA,NA,NA,NA,NA,204.15
"are",2001,NA,NA,NA,NA,NA,NA,NA,NA,212.99
"are",2002,NA,NA,NA,NA,NA,NA,NA,NA,223.27
"are",2003,NA,NA,NA,NA,NA,NA,NA,NA,221.59
"are",2004,NA,NA,NA,NA,NA,NA,NA,NA,223.53
"are",2005,NA,NA,NA,NA,NA,NA,NA,NA,230.55
"are",2006,NA,NA,NA,NA,NA,NA,NA,NA,264.83
"are",2007,NA,NA,NA,NA,NA,NA,NA,NA,338.84
"are",2008,NA,NA,NA,NA,NA,NA,NA,NA,432.25
"are",2009,NA,NA,NA,NA,NA,NA,NA,NA,515.92
"are",2010,NA,NA,NA,NA,NA,NA,NA,NA,541.28
"are",2011,NA,NA,NA,NA,NA,NA,NA,NA,562.14
"are",2012,NA,NA,NA,NA,NA,NA,NA,NA,580.28
"are",2013,NA,NA,NA,NA,NA,NA,NA,NA,610.24
"are",2014,NA,NA,NA,NA,NA,NA,NA,NA,635.87
"are",2015,NA,NA,NA,NA,NA,NA,NA,NA,644.55
"are",2016,NA,NA,NA,NA,NA,NA,NA,NA,648.3
"are",2017,NA,NA,NA,NA,NA,NA,NA,NA,648.46
"are",2018,NA,NA,NA,NA,NA,NA,NA,NA,655.1
"are",2019,NA,NA,NA,NA,NA,NA,NA,NA,664.05
"arg",1966,0.4122,7.0785,8.3431,12.2236,18.9981,12.0975,3.7459,7.85,NA
"arg",1967,0.3644,9.443,9.8951,15.4738,24.4061,15.5523,4.5222,9.9153,NA
"arg",1968,0.4683,10.38,11.4156,16.4139,24.0922,16.5858,4.8783,10.6102,NA
"arg",1969,0.4081,10.3212,11.2645,14.9269,24.1908,16.5176,4.411,10.3222,NA
"arg",1970,0.4268,10.5963,11.5505,14.2289,22.712,15.8299,5.0434,10.1679,NA
"arg",1977,0.4321,8.1503,8.7608,9.6287,18.2248,11.5915,4.0652,7.7019,NA
"arg",1978,0.3457,7.9179,8.5855,10.4163,18.9749,11.7464,4.1568,7.7999,NA
"arg",1979,0.3524,5.8563,7.2529,10.2683,16.7732,10.0139,3.7172,6.7232,NA
"arg",1980,0.3199,5.7816,8.0894,11.4198,19.3328,11.2771,3.87,7.3641,NA
"arg",1981,0.3424,6.3345,9.2905,13.211,19.8452,12.6279,3.9349,8.1094,NA
"arg",1982,0.2294,5.3761,7.5511,9.8853,18.9388,10.7076,3.3053,6.8338,NA
"arg",1983,0.1878,4.8334,5.9205,9.4122,18.9083,9.3718,3.4795,6.2622,NA
"arg",1984,0.2239,4.5309,6.3998,11.0683,18.5053,10.2681,3.2377,6.5156,NA
"arg",1985,0.3199,4.9339,6.4733,10.5541,20.4355,10.5436,3.5348,6.804,NA
"arg",1986,0.2003,6.0696,8.3045,11.935,21.7892,11.9563,4.2657,7.8251,NA
"arg",1987,0.3372,5.6793,8.2623,11.8048,21.6863,11.4673,4.4642,7.7228,NA
"arg",1988,0.331,6.2026,7.5988,11.7558,21.6669,11.725,4.1754,7.6983,NA
"arg",1989,0.3014,5.7268,7.612,10.8148,20.2086,11.2461,3.7589,7.2519,NA
"arg",1990,0.3683,5.3166,6.3201,10.9063,19.1879,10.458,3.6313,6.7855,2757.69
"arg",1991,0.3618,4.9652,6.5474,8.9083,16.6212,9.8057,2.9576,6.1204,2874.98
"arg",1992,0.3433,6.0804,7.3663,10.523,16.3089,11.2015,2.9631,6.7854,3065.22
"arg",1993,0.405,5.726,7.2679,9.8363,18.1761,11.4553,2.8652,6.8066,3194.41
"arg",1994,0.3785,5.9167,7.5801,10.4017,15.7679,11.1,2.9342,6.7159,3343.19
"arg",1995,0.3403,6.2672,6.3127,10.0051,15.8225,10.7304,2.8093,6.465,3496.35
"arg",1996,0.2303,5.9735,6.5506,11.4008,14.4591,10.5631,2.9338,6.4746,3706.71
"arg",1997,NA,NA,NA,NA,NA,NA,NA,NA,3965.3
"arg",1998,NA,NA,NA,NA,NA,NA,NA,NA,4157.08
"arg",1999,NA,NA,NA,NA,NA,NA,NA,NA,4327.79
"arg",2000,NA,NA,NA,NA,NA,NA,NA,NA,4393.52
"arg",2001,NA,NA,NA,NA,NA,NA,NA,NA,4546.23
"arg",2002,NA,NA,NA,NA,NA,NA,NA,NA,4600.25
"arg",2003,NA,NA,NA,NA,NA,NA,NA,NA,4462.67
"arg",2004,NA,NA,NA,NA,NA,NA,NA,NA,4290.37
"arg",2005,NA,NA,NA,NA,NA,NA,NA,NA,4282.93
"arg",2006,NA,NA,NA,NA,NA,NA,NA,NA,4310.32
"arg",2007,NA,NA,NA,NA,NA,NA,NA,NA,4503.63
"arg",2008,NA,NA,NA,NA,NA,NA,NA,NA,4548.89
"arg",2009,NA,NA,NA,NA,NA,NA,NA,NA,4573.51
"arg",2010,NA,NA,NA,NA,NA,NA,NA,NA,4584.32
"arg",2011,NA,NA,NA,NA,NA,NA,NA,NA,4679.64
"arg",2012,NA,NA,NA,NA,NA,NA,NA,NA,4781.82
"arg",2013,NA,NA,NA,NA,NA,NA,NA,NA,4840.54
"arg",2014,NA,NA,NA,NA,NA,NA,NA,NA,4805.24
"arg",2015,NA,NA,NA,NA,NA,NA,NA,NA,4772.96
"arg",2016,NA,NA,NA,NA,NA,NA,NA,NA,4926.19
"arg",2017,NA,NA,NA,NA,NA,NA,NA,NA,4978.57
"arg",2018,NA,NA,NA,NA,NA,NA,NA,NA,5008.95
"arg",2019,NA,NA,NA,NA,NA,NA,NA,NA,5028.95
"arm",1981,0.1103,1.8538,3.7289,6.5994,9.46,4.696,2.3797,3.4636,NA
"arm",1982,NA,1.5079,6.1911,3.2863,3.0617,4.1356,1.2073,2.5824,NA
"arm",1985,NA,1.3288,4.5572,4.5005,5.0837,3.9925,1.3315,2.6248,NA
"arm",1986,NA,1.4446,3.105,3.4079,4.3269,3.3749,1.0626,2.0787,NA
"arm",1987,0.1118,1.3603,4.6953,3.8436,6.7383,4.2383,1.6043,2.784,NA
"arm",1988,0.1125,1.9509,2.5304,3.5887,2.9299,2.4433,1.5379,1.9722,NA
"arm",1989,NA,2.7532,4.0301,4.539,2.8825,4.2371,1.0816,2.6064,NA
"arm",1990,NA,2.475,5.6183,4.5844,4.0518,4.2503,1.8351,3.0237,105.26
"arm",1991,NA,2.4343,2.4515,3.0614,5.6558,3.4343,1.348,2.2864,109.8
"arm",1992,NA,1.6847,2.7233,5.2584,5.3053,4.2033,1.002,2.4685,128.31
"arm",1993,NA,2.4292,3.2499,4.745,7.859,4.1965,1.8509,2.9872,141.73
"arm",1994,0.2714,1.8067,3.5019,5.0527,9.5737,4.8635,1.8447,3.2125,147.94
"arm",1995,0.088,2.6098,5.1278,6.8112,6.2147,5.6939,1.761,3.5888,142.29
"arm",1996,0.1722,1.4743,2.6088,4.8656,6.113,4.0755,1.1456,2.471,138.98
"arm",1997,0.0849,0.8878,3.2237,2.5118,5.9279,3.5143,0.728,2.0373,134.14
"arm",1998,0.0847,0.8757,2.4658,2.9569,3.9643,2.7215,0.855,1.7091,129.14
"arm",1999,NA,0.9491,2.1634,2.8194,4.5802,2.6385,0.8226,1.6921,128.37
"arm",2000,NA,0.8062,2.107,2.3745,4.6483,2.638,0.6802,1.582,127.15
"arm",2001,0.2637,0.4947,1.7101,2.5391,4.7408,2.5954,0.5879,1.5269,136.81
"arm",2002,0.1019,1.5525,3.3845,2.1131,5.7157,3.9308,0.6654,2.1508,146.05
"arm",2003,0.1045,0.5352,3.1966,3.0688,4.2794,3.3417,0.5091,1.8419,155.87
"arm",2004,NA,NA,NA,NA,NA,NA,NA,NA,179.86
"arm",2005,NA,NA,NA,NA,NA,NA,NA,NA,211.44
