"geo","time","suicide_0_14","suicide_15_29","suicide_30_44","suicide_45_59","suicide_60plus","suicide_men","suicide_women","suicide_total","suicide_deaths","country_name"
"can",1950,0.088,4.9413,9.7194,16.3762,18.9179,12.482,3.7019,8.1857,NA,"Canadá"
"can",1951,0.0291,4.3822,9.3037,16.3956,18.0768,11.7471,3.8348,7.8466,NA,"Canadá"
"can",1952,0.1119,4.1077,8.8874,15.87,19.3403,11.7991,3.6274,7.7788,NA,"Canadá"
"can",1953,0.134,4.6585,9.6599,14.5965,17.1055,11.7315,3.3958,7.615,NA,"Canadá"
"can",1954,0.1022,4.5515,9.9351,15.8138,16.8006,11.7489,3.7418,7.7969,NA,"Canadá"
"can",1955,0.0486,4.326,9.5866,15.3659,17.5214,11.6081,3.6356,7.6677,NA,"Canadá"
"can",1956,0.1376,4.9409,9.1038,17.8157,19.3426,12.8194,3.7811,8.3476,NA,"Canadá"
"can",1957,0.0433,4.955,10.2307,17.7152,16.8341,12.8309,3.5654,8.2514,NA,"Canadá"
"can",1958,0.2267,5.4123,9.8805,17.608,16.2424,13.1071,3.2677,8.2494,NA,"Canadá"
"can",1959,0.0987,4.9978,10.4145,16.3681,17.1772,12.7598,3.4328,8.1417,NA,"Canadá"
"can",1960,0.1138,6.6898,9.9925,16.4111,16.4929,13.3809,3.3345,8.3973,NA,"Canadá"
"can",1961,0.1418,4.9741,10.4533,17.0109,17.6347,13.3143,3.2851,8.3125,NA,"Canadá"
"can",1962,0.206,6.0215,10.0487,16.9162,13.5893,12.5575,3.4171,8.0028,NA,"Canadá"
"can",1963,0.2176,6.7518,11.2213,15.7814,15.3209,12.7618,4.1841,8.4616,NA,"Canadá"
"can",1964,0.2133,6.7532,12.6504,18.2196,15.7029,13.8525,4.5736,9.2004,NA,"Canadá"
"can",1965,0.258,7.1894,13.009,18.7352,17.993,14.5323,5.014,9.7517,NA,"Canadá"
"can",1966,0.2985,7.7866,12.1407,19.3804,15.2127,14.2656,4.8164,9.495,NA,"Canadá"
"can",1967,0.1836,8.8062,13.8364,18.4453,15.3806,14.7029,5.2817,9.9488,NA,"Canadá"
"can",1968,0.2536,9.1578,15.3196,19.6549,16.3226,15.7336,5.7073,10.6757,NA,"Canadá"
"can",1969,0.2188,10.6877,15.6599,22.6054,17.6705,16.9381,6.694,11.7477,NA,"Canadá"
"can",1970,0.244,11.4763,17.449,21.6164,17.5124,17.5751,6.8559,12.1535,NA,"Canadá"
"can",1971,0.2564,12.0603,18.0501,22.9368,17.2796,18.4883,6.8709,12.6118,NA,"Canadá"
"can",1972,0.3251,14.2981,18.1426,21.0184,16.2559,18.3461,7.3484,12.7722,NA,"Canadá"
"can",1973,0.3391,13.6516,17.1648,22.7339,19.3431,18.8114,7.4017,13.0503,NA,"Canadá"
"can",1974,0.2382,15.7495,18.1285,21.3446,17.3105,19.3067,7.405,13.2818,NA,"Canadá"
"can",1975,0.3619,15.2254,16.4621,19.9402,16.2079,18.07,7.021,12.4737,NA,"Canadá"
"can",1976,0.3056,15.7919,17.7176,20.5476,15.3788,18.5221,7.3466,12.8644,NA,"Canadá"
"can",1977,0.4973,17.8209,18.6617,22.6522,16.6156,21.0667,7.3065,14.099,NA,"Canadá"
"can",1978,0.489,18.6077,19.5218,21.5201,18.3801,21.9972,7.2412,14.5042,NA,"Canadá"
"can",1979,0.3788,17.7702,18.5322,21.1711,16.8332,20.912,6.8852,13.8176,NA,"Canadá"
"can",1980,0.3559,16.8875,17.0435,21.3681,18.6902,20.6908,6.644,13.5297,NA,"Canadá"
"can",1981,0.6009,16.0844,18.0237,20.8199,17.8258,20.5373,6.5524,13.4145,NA,"Canadá"
"can",1982,0.4629,17.0996,18.9133,21.2981,17.2292,21.6136,6.2809,13.8233,NA,"Canadá"
"can",1983,0.4043,17.8419,19.1107,21.0831,19.7976,22.3275,6.6284,14.3053,NA,"Canadá"
"can",1984,0.5015,16.0928,17.3761,19.9131,16.5163,20.3752,5.8062,12.9513,NA,"Canadá"
"can",1985,0.3271,15.1739,16.505,17.8749,15.8164,19.3431,5.0987,12.0848,NA,"Canadá"
"can",1986,0.4603,17.1792,19.0486,19.2888,17.5591,21.5364,5.9932,13.5899,NA,"Canadá"
"can",1987,0.5517,16.4251,18.1024,19.6819,16.4323,20.8697,5.7286,13.1544,NA,"Canadá"
